country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id;polls
austria;1995;15.01.1995;FPO;Freedom Party of Austria;50;0,014921;0,009133;0,02417;Greens;1429;17,76
austria;1995;15.01.1995;FPO;Freedom Party of Austria;50;0,006444;0,003885;0,010383;LIF;955;17,76
austria;1995;15.01.1995;FPO;Freedom Party of Austria;50;0,007856;0,004243;0,013384;OVP;1013;17,76
austria;1995;15.01.1995;FPO;Freedom Party of Austria;50;0,008258;0,004864;0,013488;SPO;973;17,76
austria;1995;15.01.1995;FPO;Freedom Party of Austria;50;0,017878;0,010897;0,028729;;;17,76
austria;1995;15.01.1995;Greens;The Greens -- The Green Alternative;1429;0,012112;0,007244;0,019051;FPO;50;14,45
austria;1995;15.01.1995;Greens;The Greens -- The Green Alternative;1429;0,005401;0,003393;0,008381;LIF;955;14,45
austria;1995;15.01.1995;Greens;The Greens -- The Green Alternative;1429;0,009586;0,005521;0,015422;OVP;1013;14,45
austria;1995;15.01.1995;Greens;The Greens -- The Green Alternative;1429;0,003791;0,002178;0,006246;SPO;973;14,45
austria;1995;15.01.1995;Greens;The Greens -- The Green Alternative;1429;0,015069;0,009171;0,023247;;;14,45
austria;1995;15.01.1995;LIF;Liberal Forum;955;0,065922;0,044029;0,095762;FPO;50;10,56
austria;1995;15.01.1995;LIF;Liberal Forum;955;0,067688;0,04487;0,097384;Greens;1429;10,56
austria;1995;15.01.1995;LIF;Liberal Forum;955;0,03377;0,019319;0,05102;OVP;1013;10,56
austria;1995;15.01.1995;LIF;Liberal Forum;955;0,022323;0,013251;0,034929;SPO;973;10,56
austria;1995;15.01.1995;LIF;Liberal Forum;955;0,077356;0,051864;0,111164;;;10,56
austria;1995;15.01.1995;OVP;Austrian People's Party;1013;0,858833;0,800079;0,908262;FPO;50;26,31
austria;1995;15.01.1995;OVP;Austrian People's Party;1013;0,863372;0,805037;0,911768;Greens;1429;26,31
austria;1995;15.01.1995;OVP;Austrian People's Party;1013;0,825269;0,757663;0,882735;LIF;955;26,31
austria;1995;15.01.1995;OVP;Austrian People's Party;1013;0,023122;0,015123;0,034216;SPO;973;26,31
austria;1995;15.01.1995;OVP;Austrian People's Party;1013;0,868856;0,812343;0,917101;;;26,31
austria;1995;15.01.1995;SPO;Social Democratic Party of Austria;973;0,960154;0,941284;0,974695;FPO;50;30,6
austria;1995;15.01.1995;SPO;Social Democratic Party of Austria;973;0,958496;0,939267;0,97327;Greens;1429;30,6
austria;1995;15.01.1995;SPO;Social Democratic Party of Austria;973;0,914742;0,876729;0,942188;LIF;955;30,6
austria;1995;15.01.1995;SPO;Social Democratic Party of Austria;973;0,124041;0,079021;0,175216;OVP;1013;30,6
austria;1995;15.01.1995;SPO;Social Democratic Party of Austria;973;0,969775;0,953963;0,981371;;;30,6
austria;1995;15.02.1995;FPO;Freedom Party of Austria;50;0,014921;0,009133;0,02417;Greens;1429;17,27
austria;1995;15.02.1995;FPO;Freedom Party of Austria;50;0,006444;0,003885;0,010383;LIF;955;17,27
austria;1995;15.02.1995;FPO;Freedom Party of Austria;50;0,007856;0,004243;0,013384;OVP;1013;17,27
austria;1995;15.02.1995;FPO;Freedom Party of Austria;50;0,008258;0,004864;0,013488;SPO;973;17,27
austria;1995;15.02.1995;FPO;Freedom Party of Austria;50;0,017878;0,010897;0,028729;;;17,27
austria;1995;15.02.1995;Greens;The Greens -- The Green Alternative;1429;0,012112;0,007244;0,019051;FPO;50;14,32
austria;1995;15.02.1995;Greens;The Greens -- The Green Alternative;1429;0,005401;0,003393;0,008381;LIF;955;14,32
austria;1995;15.02.1995;Greens;The Greens -- The Green Alternative;1429;0,009586;0,005521;0,015422;OVP;1013;14,32
austria;1995;15.02.1995;Greens;The Greens -- The Green Alternative;1429;0,003791;0,002178;0,006246;SPO;973;14,32
austria;1995;15.02.1995;Greens;The Greens -- The Green Alternative;1429;0,015069;0,009171;0,023247;;;14,32
austria;1995;15.02.1995;LIF;Liberal Forum;955;0,065922;0,044029;0,095762;FPO;50;13,14
austria;1995;15.02.1995;LIF;Liberal Forum;955;0,067688;0,04487;0,097384;Greens;1429;13,14
austria;1995;15.02.1995;LIF;Liberal Forum;955;0,03377;0,019319;0,05102;OVP;1013;13,14
austria;1995;15.02.1995;LIF;Liberal Forum;955;0,022323;0,013251;0,034929;SPO;973;13,14
austria;1995;15.02.1995;LIF;Liberal Forum;955;0,077356;0,051864;0,111164;;;13,14
austria;1995;15.02.1995;OVP;Austrian People's Party;1013;0,858833;0,800079;0,908262;FPO;50;26,56
austria;1995;15.02.1995;OVP;Austrian People's Party;1013;0,863372;0,805037;0,911768;Greens;1429;26,56
austria;1995;15.02.1995;OVP;Austrian People's Party;1013;0,825269;0,757663;0,882735;LIF;955;26,56
austria;1995;15.02.1995;OVP;Austrian People's Party;1013;0,023122;0,015123;0,034216;SPO;973;26,56
austria;1995;15.02.1995;OVP;Austrian People's Party;1013;0,868856;0,812343;0,917101;;;26,56
austria;1995;15.02.1995;SPO;Social Democratic Party of Austria;973;0,960154;0,941284;0,974695;FPO;50;27,62
austria;1995;15.02.1995;SPO;Social Democratic Party of Austria;973;0,958496;0,939267;0,97327;Greens;1429;27,62
austria;1995;15.02.1995;SPO;Social Democratic Party of Austria;973;0,914742;0,876729;0,942188;LIF;955;27,62
austria;1995;15.02.1995;SPO;Social Democratic Party of Austria;973;0,124041;0,079021;0,175216;OVP;1013;27,62
austria;1995;15.02.1995;SPO;Social Democratic Party of Austria;973;0,969775;0,953963;0,981371;;;27,62
austria;1995;15.03.1995;FPO;Freedom Party of Austria;50;0,003118;0,001906;0,004896;Greens;1429;16,8
austria;1995;15.03.1995;FPO;Freedom Party of Austria;50;0,003568;0,002194;0,005527;LIF;955;16,8
austria;1995;15.03.1995;FPO;Freedom Party of Austria;50;0,002609;0,001477;0,004333;OVP;1013;16,8
austria;1995;15.03.1995;FPO;Freedom Party of Austria;50;0,001014;0,000552;0,001703;SPO;973;16,8
austria;1995;15.03.1995;FPO;Freedom Party of Austria;50;0,004648;0,002858;0,007252;;;16,8
austria;1995;15.03.1995;Greens;The Greens -- The Green Alternative;1429;0,033794;0,019737;0,055759;FPO;50;18,03
austria;1995;15.03.1995;Greens;The Greens -- The Green Alternative;1429;0,029993;0,017537;0,049189;LIF;955;18,03
austria;1995;15.03.1995;Greens;The Greens -- The Green Alternative;1429;0,029406;0,016633;0,049343;OVP;1013;18,03
austria;1995;15.03.1995;Greens;The Greens -- The Green Alternative;1429;0,001801;0,000927;0,003313;SPO;973;18,03
austria;1995;15.03.1995;Greens;The Greens -- The Green Alternative;1429;0,035324;0,020793;0,058041;;;18,03
austria;1995;15.03.1995;LIF;Liberal Forum;955;0,030362;0,021469;0,04264;FPO;50;9,18
austria;1995;15.03.1995;LIF;Liberal Forum;955;0,026112;0,018457;0,036974;Greens;1429;9,18
austria;1995;15.03.1995;LIF;Liberal Forum;955;0,014184;0,008842;0,020981;OVP;1013;9,18
austria;1995;15.03.1995;LIF;Liberal Forum;955;0,004532;0,002656;0,007204;SPO;973;9,18
austria;1995;15.03.1995;LIF;Liberal Forum;955;0,031443;0,022227;0,044164;;;9,18
austria;1995;15.03.1995;OVP;Austrian People's Party;1013;0,860826;0,804793;0,907448;FPO;50;21,43
austria;1995;15.03.1995;OVP;Austrian People's Party;1013;0,856947;0,80038;0,904628;Greens;1429;21,43
austria;1995;15.03.1995;OVP;Austrian People's Party;1013;0,845607;0,787583;0,894638;LIF;955;21,43
