country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id;polls
czech republic;1993;15.02.1993;CSSD;Czech Social Democratic Party;789;0,089223;0,066816;0,113651;LSU;1218;10,44247818
czech republic;1993;15.02.1993;CSSD;Czech Social Democratic Party;789;0,021882;0,013738;0,033637;ODA;1123;10,44247818
czech republic;1993;15.02.1993;CSSD;Czech Social Democratic Party;789;0,494405;0,393913;0,589046;ODS;829;10,44247818
czech republic;1993;15.02.1993;CSSD;Czech Social Democratic Party;789;0,571681;0,469575;0,664284;;;10,44247818
czech republic;1993;15.02.1993;KDU-CSL;Christian Democratic Union -- People's Party;1245;;;;;;1,946902633
czech republic;1993;15.02.1993;KSCM;Communist Party of Bohemia and Moravia;1173;;;;;;2,831858397
czech republic;1993;15.02.1993;LSU;Liberal Social Union;1218;0,22412;0,180111;0,272571;CSSD;789;9,203539848
czech republic;1993;15.02.1993;LSU;Liberal Social Union;1218;0,025711;0,016365;0,039188;ODA;1123;9,203539848
czech republic;1993;15.02.1993;LSU;Liberal Social Union;1218;0,553528;0,457435;0,642239;ODS;829;9,203539848
czech republic;1993;15.02.1993;LSU;Liberal Social Union;1218;0,706578;0,619113;0,78428;;;9,203539848
czech republic;1993;15.02.1993;ODA;Civic Democratic Alliance;1123;0,416292;0,324574;0,513887;CSSD;789;38,93805313
czech republic;1993;15.02.1993;ODA;Civic Democratic Alliance;1123;0,761927;0,713846;0,805196;"KDS; KDU-CSL; ODS";"1245; 829";38,93805313
czech republic;1993;15.02.1993;ODA;Civic Democratic Alliance;1123;0,285223;0,208756;0,371209;LSU;1218;38,93805313
czech republic;1993;15.02.1993;ODA;Civic Democratic Alliance;1123;0,761927;0,713846;0,805196;ODS;829;38,93805313
czech republic;1993;15.02.1993;ODA;Civic Democratic Alliance;1123;0,966091;0,94809;0,978344;;;38,93805313
czech republic;1993;15.02.1993;ODS;Civic Democratic Party;829;0,136811;0,103933;0,175418;CSSD;789;5,840707779
