country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id
australia;1949;19.12.1949;ALP;Australian Labor Party;1253;0,149813;0,077899;0,255897;LPA;1411
australia;1949;19.12.1949;ALP;Australian Labor Party;1253;0,128281;0,062637;0,229724;NCP|NPA;184
australia;1949;19.12.1949;ALP;Australian Labor Party;1253;0,18818;0,103376;0,304052;;
australia;1949;19.12.1949;LPA;Liberal Party of Australia;1411;0,797172;0,678353;0,884523;ALP;1253
australia;1949;19.12.1949;LPA;Liberal Party of Australia;1411;0,153935;0,103729;0,215551;NCP|NPA;184
australia;1949;19.12.1949;LPA;Liberal Party of Australia;1411;0,835539;0,728515;0,911742;;
australia;1949;19.12.1949;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,696252;0,582591;0,793602;ALP;1253
australia;1949;19.12.1949;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,074547;0,047;0,11311;LPA;1411
australia;1949;19.12.1949;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,756151;0,654903;0,838191;;
australia;1951;11.05.1951;ALP;Australian Labor Party;1253;0,03542;0,018357;0,060611;LPA;1411
australia;1951;11.05.1951;ALP;Australian Labor Party;1253;0,02524;0,012176;0,04657;NCP|NPA;184
australia;1951;11.05.1951;ALP;Australian Labor Party;1253;0,041488;0,02163;0,070398;;
australia;1951;11.05.1951;LPA;Liberal Party of Australia;1411;0,956001;0,925142;0,976367;ALP;1253
australia;1951;11.05.1951;LPA;Liberal Party of Australia;1411;0,006998;0,003567;0,012128;NCP|NPA;184
australia;1951;11.05.1951;LPA;Liberal Party of Australia;1411;0,96207;0,935779;0,980083;;
australia;1951;11.05.1951;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,957582;0,927929;0,977711;ALP;1253
australia;1951;11.05.1951;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,018758;0,010114;0,031463;LPA;1411
australia;1951;11.05.1951;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,97383;0,951806;0,987268;;
australia;1954;09.07.1954;ALP;Australian Labor Party;1253;0,03542;0,018357;0,060611;LPA;1411
australia;1954;09.07.1954;ALP;Australian Labor Party;1253;0,02524;0,012176;0,04657;NCP|NPA;184
australia;1954;09.07.1954;ALP;Australian Labor Party;1253;0,041488;0,02163;0,070398;;
australia;1954;09.07.1954;LPA;Liberal Party of Australia;1411;0,956001;0,925142;0,976367;ALP;1253
australia;1954;09.07.1954;LPA;Liberal Party of Australia;1411;0,006998;0,003567;0,012128;NCP|NPA;184
australia;1954;09.07.1954;LPA;Liberal Party of Australia;1411;0,96207;0,935779;0,980083;;
australia;1954;09.07.1954;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,957582;0,927929;0,977711;ALP;1253
australia;1954;09.07.1954;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,018758;0,010114;0,031463;LPA;1411
australia;1954;09.07.1954;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,97383;0,951806;0,987268;;
australia;1956;11.01.1956;ALP;Australian Labor Party;1253;0,006049;0,003346;0,010241;LPA;1411
australia;1956;11.01.1956;ALP;Australian Labor Party;1253;0,004095;0,002124;0,006795;NCP|NPA;184
australia;1956;11.01.1956;ALP;Australian Labor Party;1253;0,009614;0,005386;0,015583;;
australia;1956;11.01.1956;LPA;Liberal Party of Australia;1411;0,988933;0,982097;0,993606;ALP;1253
australia;1956;11.01.1956;LPA;Liberal Party of Australia;1411;0,014964;0,008413;0,02409;NCP|NPA;184
australia;1956;11.01.1956;LPA;Liberal Party of Australia;1411;0,992498;0,987573;0,995744;;
australia;1956;11.01.1956;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,978986;0,967097;0,987975;ALP;1253
australia;1956;11.01.1956;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,006972;0,003967;0,011583;LPA;1411
australia;1956;11.01.1956;NCP|NPA;National (Country) Party | National Party of Austrialia;184;0,984505;0,975129;0,991315;;
australia;1958;10.12.1958;ALP;Australian Labor Party;1253;0,006049;0,003346;0,010241;LPA;1411
australia;1958;10.12.1958;ALP;Australian Labor Party;1253;0,004095;0,002124;0,006795;NCP|NPA;184
australia;1958;10.12.1958;ALP;Australian Labor Party;1253;0,009614;0,005386;0,015583;;
