country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id
austria;1953;02.04.1953;FPO;Freedom Party of Austria;50;0,016818;0,009665;0,02757;KPO;769
austria;1953;02.04.1953;FPO;Freedom Party of Austria;50;0,001706;0,000865;0,003107;OVP;1013
austria;1953;02.04.1953;FPO;Freedom Party of Austria;50;0,014394;0,00831;0,023927;SPO;973
austria;1953;02.04.1953;FPO;Freedom Party of Austria;50;0,017131;0,009915;0,02801;;
austria;1953;02.04.1953;KPO;Communist Party of Austria;769;0,0013;0,000775;0,002087;FPO;50
austria;1953;02.04.1953;KPO;Communist Party of Austria;769;0,000546;0,000281;0,000974;OVP;1013
austria;1953;02.04.1953;KPO;Communist Party of Austria;769;0,000691;0,000356;0,001253;SPO;973
austria;1953;02.04.1953;KPO;Communist Party of Austria;769;0,001613;0,000957;0,002599;;
austria;1953;02.04.1953;OVP;Austrian People's Party;1013;0,980038;0,967968;0,987801;FPO;50
austria;1953;02.04.1953;OVP;Austrian People's Party;1013;0,994395;0,990887;0,99665;KPO;769
austria;1953;02.04.1953;OVP;Austrian People's Party;1013;0,114057;0,072138;0,167258;SPO;973
austria;1953;02.04.1953;OVP;Austrian People's Party;1013;0,995462;0,99248;0,997491;;
austria;1953;02.04.1953;SPO;Social Democratic Party of Austria;973;0,882439;0,828553;0,924675;FPO;50
austria;1953;02.04.1953;SPO;Social Democratic Party of Austria;973;0,884254;0,831041;0,92631;KPO;769
austria;1953;02.04.1953;SPO;Social Democratic Party of Austria;973;0,00377;0,00215;0,006023;OVP;1013
austria;1953;02.04.1953;SPO;Social Democratic Party of Austria;973;0,885176;0,832092;0,92734;;
austria;1956;29.06.1956;FPO;Freedom Party of Austria;50;0,015917;0,009192;0,02615;KPO;769
austria;1956;29.06.1956;FPO;Freedom Party of Austria;50;0,000915;0,000431;0,001864;OVP;1013
austria;1956;29.06.1956;FPO;Freedom Party of Austria;50;0,014388;0,00831;0,023916;SPO;973
austria;1956;29.06.1956;FPO;Freedom Party of Austria;50;0,016333;0,009383;0,026677;;
austria;1956;29.06.1956;KPO;Communist Party of Austria;769;0,002471;0,00146;0,003989;FPO;50
austria;1956;29.06.1956;KPO;Communist Party of Austria;769;0,000649;0,000344;0,001142;OVP;1013
austria;1956;29.06.1956;KPO;Communist Party of Austria;769;0,001862;0,001014;0,003151;SPO;973
austria;1956;29.06.1956;KPO;Communist Party of Austria;769;0,002887;0,001695;0,004681;;
austria;1956;29.06.1956;OVP;Austrian People's Party;1013;0,980836;0,969168;0,988308;FPO;50
austria;1956;29.06.1956;OVP;Austrian People's Party;1013;0,994016;0,990461;0,99637;KPO;769
austria;1956;29.06.1956;OVP;Austrian People's Party;1013;0,115183;0,073223;0,168589;SPO;973
austria;1956;29.06.1956;OVP;Austrian People's Party;1013;0,996255;0,99342;0,998102;;
austria;1956;29.06.1956;SPO;Social Democratic Party of Austria;973;0,882104;0,828257;0,924694;FPO;50
austria;1956;29.06.1956;SPO;Social Democratic Party of Austria;973;0,883025;0,829596;0,925339;KPO;769
austria;1956;29.06.1956;SPO;Social Democratic Party of Austria;973;0,002978;0,001574;0,005114;OVP;1013
austria;1956;29.06.1956;SPO;Social Democratic Party of Austria;973;0,88405;0,830762;0,926284;;
austria;1959;16.07.1959;FPO;Freedom Party of Austria;50;0,001622;0,000823;0,002978;OVP;1013
austria;1959;16.07.1959;FPO;Freedom Party of Austria;50;0,014194;0,008101;0,023654;SPO;973
austria;1959;16.07.1959;FPO;Freedom Party of Austria;50;0,015274;0,008694;0,025582;;
austria;1959;16.07.1959;OVP;Austrian People's Party;1013;0,982342;0,971554;0,989293;FPO;50
austria;1959;16.07.1959;OVP;Austrian People's Party;1013;0,113967;0,071934;0,167214;SPO;973
austria;1959;16.07.1959;OVP;Austrian People's Party;1013;0,995995;0,993309;0,997845;;
austria;1959;16.07.1959;SPO;Social Democratic Party of Austria;973;0,884412;0,831149;0,926484;FPO;50
austria;1959;16.07.1959;SPO;Social Democratic Party of Austria;973;0,003464;0,001908;0,00569;OVP;1013
austria;1959;16.07.1959;SPO;Social Democratic Party of Austria;973;0,885492;0,832322;0,92755;;
austria;1960;03.11.1960;FPO;Freedom Party of Austria;50;0,001622;0,000823;0,002978;OVP;1013
