country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,129751;0,088617;0,176985;HSD-SMS;19
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,098052;0,060356;0,148165;KDS;440
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,131638;0,09018;0,178904;KDU-CSL;1245
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,201751;0,145894;0,260858;KSCM;1173
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,150087;0,109893;0,193196;LSU;1218
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,150087;0,109893;0,193196;ODA;1123
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,057044;0,033415;0,088448;ODS;829
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,178801;0,132934;0,226917;SPR-RSC;872
czech republic;1992;02.07.1992;CSSD;Czech Social Democratic Party;789;0,238001;0,175158;0,30543;;
czech republic;1992;02.07.1992;HSD-SMS;Movement for Self-Governing Democracy -- Society for Moravia and Silesia;19;0,497839;0,401662;0,60203;CSSD;789
czech republic;1992;02.07.1992;HSD-SMS;Movement for Self-Governing Democracy -- Society for Moravia and Silesia;19;0,147346;0,103207;0,20051;KDS;440
czech republic;1992;02.07.1992;HSD-SMS;Movement for Self-Governing Democracy -- Society for Moravia and Silesia;19;0,197789;0,164664;0,226635;KDU-CSL;1245
czech republic;1992;02.07.1992;HSD-SMS;Movement for Self-Governing Democracy -- Society for Moravia and Silesia;19;0,566483;0,474757;0,66156;KSCM;1173
czech republic;1992;02.07.1992;HSD-SMS;Movement for Self-Governing Democracy -- Society for Moravia and Silesia;19;0,463996;0,361795;0,572017;LSU;1218
czech republic;1992;02.07.1992;HSD-SMS;Movement for Self-Governing Democracy -- Society for Moravia and Silesia;19;0,479322;0,386899;0,573627;ODA;1123
czech republic;1992;02.07.1992;HSD-SMS;Movement for Self-Governing Democracy -- Society for Moravia and Silesia;19;0,08548;0,052179;0,133784;ODS;829
czech republic;1992;02.07.1992;HSD-SMS;Movement for Self-Governing Democracy -- Society for Moravia and Silesia;19;0,521487;0,430983;0,614705;SPR-RSC;872
