country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,190393;0,14448;0,23483;KDS;239
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,20801;0,154688;0,259805;L;928
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,02405;0,01139;0,044793;LC;526
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,236399;0,1694;0,306753;LNNK;1557
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,143286;0,085254;0,211477;LZS;1368
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,224377;0,163508;0,287613;TB;203
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,170903;0,132006;0,205158;TPA;278
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,179119;0,136826;0,217315;TSP;32
latvia;1994;15.09.1994;DCP;Democratic Centre Party;384;0,282906;0,198443;0,36852;;
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,14035;0,104261;0,174775;DCP;384
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,16939;0,123815;0,216128;L;928
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,021602;0,010036;0,040818;LC;526
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,185993;0,131556;0,241557;LNNK;1557
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,122163;0,07095;0,183772;LZS;1368
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,173977;0,12663;0,223016;TB;203
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,14035;0,104261;0,174775;TPA;278
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,145544;0,108233;0,18252;TSP;32
latvia;1994;15.09.1994;KDS;Christian Democratic Union;239;0,232864;0,162547;0,308233;;
latvia;1994;15.09.1994;L;Equal Rights;928;0,127969;0,095358;0,159077;DCP;384
latvia;1994;15.09.1994;L;Equal Rights;928;0,139391;0,104128;0,172696;KDS;239
latvia;1994;15.09.1994;L;Equal Rights;928;0,018882;0,00877;0,035362;LC;526
latvia;1994;15.09.1994;L;Equal Rights;928;0,167119;0,120325;0,215396;LNNK;1557
latvia;1994;15.09.1994;L;Equal Rights;928;0,101739;0,059948;0,151472;LZS;1368
latvia;1994;15.09.1994;L;Equal Rights;928;0,161134;0,118245;0,203154;TB;203
latvia;1994;15.09.1994;L;Equal Rights;928;0,127969;0,095358;0,159077;TPA;278
latvia;1994;15.09.1994;L;Equal Rights;928;0,133358;0,09967;0,167597;TSP;32
latvia;1994;15.09.1994;L;Equal Rights;928;0,202865;0,142552;0,266233;;
latvia;1994;15.09.1994;LC;Latvian Way;526;0,683725;0,584727;0,775601;DCP;384
latvia;1994;15.09.1994;LC;Latvian Way;526;0,731319;0,642246;0,814325;KDS;239
latvia;1994;15.09.1994;LC;Latvian Way;526;0,758598;0,683197;0,830666;L;928
latvia;1994;15.09.1994;LC;Latvian Way;526;0,843507;0,764666;0,904606;LNNK;1557
latvia;1994;15.09.1994;LC;Latvian Way;526;0,306812;0,207976;0,417898;LZS;1368
latvia;1994;15.09.1994;LC;Latvian Way;526;0,811909;0,734151;0,877102;TB;203
latvia;1994;15.09.1994;LC;Latvian Way;526;0,683725;0,584727;0,775601;TPA;278
latvia;1994;15.09.1994;LC;Latvian Way;526;0,689542;0,596175;0,77872;TSP;32
latvia;1994;15.09.1994;LC;Latvian Way;526;0,942581;0,900083;0,970112;;
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,070482;0,040736;0,110293;DCP;384
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,070119;0,040481;0,10966;KDS;239
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,081243;0,047246;0,124342;L;928
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,017916;0,00733;0,035559;LC;526
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,055287;0,028512;0,092612;LZS;1368
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,069788;0,040247;0,109085;TB;203
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,070482;0,040736;0,110293;TPA;278
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,069719;0,040202;0,109369;TSP;32
latvia;1994;15.09.1994;LNNK;Latvian National Independence Movement;1557;0,11699;0,066758;0,182023;;
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,532508;0,401473;0,655881;DCP;384
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,561428;0,431307;0,682567;KDS;239
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,571002;0,446254;0,68994;L;928
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,03636;0,019317;0,063362;LC;526
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,610426;0,481413;0,732377;LNNK;1557
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,602531;0,474256;0,721701;TB;203
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,532508;0,401473;0,655881;TPA;278
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,531745;0,400519;0,655645;TSP;32
latvia;1994;15.09.1994;LZS;Farmers Union of Latvia;1368;0,672128;0,550252;0,782451;;
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,088599;0,058789;0,122782;DCP;384
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,088241;0,058608;0,122335;KDS;239
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,105397;0,07081;0,143408;L;928
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,016456;0,007328;0,032685;LC;526
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,099926;0,06467;0,14496;LNNK;1557
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,07753;0,041652;0,121214;LZS;1368
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,088599;0,058789;0,122782;TPA;278
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,090448;0,060185;0,125983;TSP;32
latvia;1994;15.09.1994;TB;For Fatherland and Freedom;203;0,147128;0,09404;0,20701;;
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,170903;0,132006;0,205158;DCP;384
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,190393;0,14448;0,23483;KDS;239
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,20801;0,154688;0,259805;L;928
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,02405;0,01139;0,044793;LC;526
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,236399;0,1694;0,306753;LNNK;1557
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,143286;0,085254;0,211477;LZS;1368
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,224377;0,163508;0,287613;TB;203
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,179119;0,136826;0,217315;TSP;32
latvia;1994;15.09.1994;TPA;Political Union of Economists;278;0,282906;0,198443;0,36852;;
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,174064;0,133242;0,210193;DCP;384
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,190532;0,144517;0,234652;KDS;239
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,208345;0,15481;0,260506;L;928
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,024814;0,011758;0,046151;LC;526
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,230581;0,16684;0,297203;LNNK;1557
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,137469;0,083059;0,203788;LZS;1368
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,221173;0,162522;0,282895;TB;203
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,174064;0,133242;0,210193;TPA;278
latvia;1994;15.09.1994;TSP;National Harmony Party;32;0,277852;0,19638;0,36159;;
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,510531;0,441903;0,572265;KDS;239
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,031086;0,017306;0,049769;"KDS; LC; LNNK; LVP; LZP; LZS; TB";"239; 526; 1557; 1042; 1001;1368; 203"
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,379983;0,264379;0,493272;LC;526
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,554141;0,469139;0,630007;LNNK;1557
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,580941;0,498072;0,658405;LSP;309
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,581407;0,497469;0,659013;LVP;1042
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,558816;0,481695;0,627529;LZP;1001
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,471134;0,403458;0,534925;LZS;1368
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,547171;0,452679;0,633018;TB;203
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,552104;0,408287;0,686016;TKL-ZP;267
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,454891;0,386206;0,517769;TSP;32
latvia;1995;21.12.1995;DPS;Democratic Party Saimnieks;759;0,80052;0,68269;0,8888;;
