country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id
lithuania;1993;10.03.1993;JL;Young Lithuania;383;0,107615;0,060807;0,161595;LCS;887
lithuania;1993;10.03.1993;JL;Young Lithuania;383;0,040902;0,017057;0,078558;LDDP;519
lithuania;1993;10.03.1993;JL;Young Lithuania;383;0,105087;0,059759;0,157799;LKDP;675
lithuania;1993;10.03.1993;JL;Young Lithuania;383;0,103087;0,059093;0,15552;LLRA;28
lithuania;1993;10.03.1993;JL;Young Lithuania;383;0,110831;0,062715;0,166927;LSDP-89;1408
lithuania;1993;10.03.1993;JL;Young Lithuania;383;0,102291;0,058827;0,154685;LTS;432
lithuania;1993;10.03.1993;JL;Young Lithuania;383;0,103087;0,059093;0,15552;TS-LK;1045
lithuania;1993;10.03.1993;JL;Young Lithuania;383;0,196762;0,109678;0,302738;;
lithuania;1993;10.03.1993;LCS;Centre Union of Lithuania;887;0,146193;0,091869;0,201549;JL;383
lithuania;1993;10.03.1993;LCS;Centre Union of Lithuania;887;0,037318;0,015176;0,073125;LDDP;519
lithuania;1993;10.03.1993;LCS;Centre Union of Lithuania;887;0,12775;0,079113;0,178055;LKDP;675
lithuania;1993;10.03.1993;LCS;Centre Union of Lithuania;887;0,133221;0,083196;0,184328;LLRA;28
lithuania;1993;10.03.1993;LCS;Centre Union of Lithuania;887;0,127217;0,077345;0,179777;LSDP-89;1408
lithuania;1993;10.03.1993;LCS;Centre Union of Lithuania;887;0,146193;0,091869;0,201549;LTS;432
lithuania;1993;10.03.1993;LCS;Centre Union of Lithuania;887;0,133221;0,083196;0,184328;TS-LK;1045
lithuania;1993;10.03.1993;LCS;Centre Union of Lithuania;887;0,235341;0,140067;0,34053;;
lithuania;1993;10.03.1993;LDDP;Democratic Labour Party of Lithuania;519;0,748735;0,607172;0,862191;JL;383
lithuania;1993;10.03.1993;LDDP;Democratic Labour Party of Lithuania;519;0,706573;0,560202;0,828623;LCS;887
lithuania;1993;10.03.1993;LDDP;Democratic Labour Party of Lithuania;519;0,715406;0,567742;0,837767;LKDP;675
