country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,150655;0,106667;0,200785;LDS;1252
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,006785;0,003895;0,010857;"LDS; SDS; ZL-SD; ZS; SSS";"1252; 179; 706; 1619; 317"
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,183017;0,14145;0,225765;NSI;1047
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,163494;0,134049;0,193854;SDS;179
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,193569;0,166824;0,221032;SDZ;1371
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,204434;0,169724;0,244024;SLS;16
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,189746;0,166303;0,211435;SOS;875
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,238167;0,196827;0,279026;SSS;317
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,074186;0,051061;0,10092;ZL-SD;706
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,192124;0,154392;0,229221;ZS;1619
slovenia;1992;22.04.1992;DS;Democratic Party;143;0,324935;0,266633;0,388799;;
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,373108;0,279663;0,463867;DS;143
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,021119;0,011451;0,034933;"DS; SDS; ZL-SD; ZS; SSS";"143; 179; 706; 1619; 317"
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,30001;0,212836;0,394034;NSI;1047
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,285989;0,206226;0,374238;SDS;179
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,324044;0,241887;0,405266;SDZ;1371
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,341687;0,255765;0,430506;SLS;16
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,342312;0,25524;0,428523;SOS;875
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,40982;0,305557;0,512436;SSS;317
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,121237;0,077472;0,181262;ZL-SD;706
slovenia;1992;22.04.1992;LDS;Liberal Democracy of Slovenia;1252;0,330575;0,237569;0,428538;ZS;1619
