country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id;polls
iceland;1994;15.03.1994;A;Social Democratic Party;228;0,21671;0,168957;0,275458;Ab;1360;8
iceland;1994;15.03.1994;A;Social Democratic Party;228;0,146613;0,098138;0,205648;F;1455;8
iceland;1994;15.03.1994;A;Social Democratic Party;228;0,223813;0,172134;0,284149;KL;147;8
iceland;1994;15.03.1994;A;Social Democratic Party;228;0,062685;0,047571;0,081769;Sj;1342;8
iceland;1994;15.03.1994;A;Social Democratic Party;228;0,244933;0,192791;0,307146;;;8
iceland;1994;15.03.1994;Ab;People's Alliance;1360;0,050749;0,038267;0,065424;A;228;15
iceland;1994;15.03.1994;Ab;People's Alliance;1360;0,02777;0,019391;0,038765;F;1455;15
iceland;1994;15.03.1994;Ab;People's Alliance;1360;0,052343;0,038576;0,068167;KL;147;15
iceland;1994;15.03.1994;Ab;People's Alliance;1360;0,047326;0,034878;0,063677;Sj;1342;15
iceland;1994;15.03.1994;Ab;People's Alliance;1360;0,078972;0,061024;0,099584;;;15
iceland;1994;15.03.1994;F;Progressive Party;1455;0,433978;0,346952;0,515861;A;228;21
iceland;1994;15.03.1994;F;Progressive Party;1455;0,481095;0,390732;0,565363;Ab;1360;21
iceland;1994;15.03.1994;F;Progressive Party;1455;0,485378;0,392132;0,574239;KL;147;21
iceland;1994;15.03.1994;F;Progressive Party;1455;0,10461;0,076471;0,137813;Sj;1342;21
iceland;1994;15.03.1994;F;Progressive Party;1455;0,532298;0,435634;0,620139;;;21
iceland;1994;15.03.1994;KL;Women's Alliance;147;0,053205;0,034074;0,078666;A;228;19
iceland;1994;15.03.1994;KL;Women's Alliance;147;0,047696;0,03073;0,069592;Ab;1360;19
iceland;1994;15.03.1994;KL;Women's Alliance;147;0,027405;0,016538;0,043253;F;1455;19
iceland;1994;15.03.1994;KL;Women's Alliance;147;0,04119;0,025332;0,063173;Sj;1342;19
iceland;1994;15.03.1994;KL;Women's Alliance;147;0,074325;0,047215;0,107406;;;19
iceland;1994;15.03.1994;Sj;Independence Party;1342;0,682969;0,613083;0,742659;A;228;35
iceland;1994;15.03.1994;Sj;Independence Party;1342;0,833572;0,790984;0,867342;Ab;1360;35
iceland;1994;15.03.1994;Sj;Independence Party;1342;0,43753;0,350743;0,529297;F;1455;35
iceland;1994;15.03.1994;Sj;Independence Party;1342;0,832082;0,785435;0,871389;KL;147;35
iceland;1994;15.03.1994;Sj;Independence Party;1342;0,865217;0,82381;0,900039;;;35
iceland;1994;15.04.1994;A;Social Democratic Party;228;0,196687;0,153832;0,251;Ab;1360;9
iceland;1994;15.04.1994;A;Social Democratic Party;228;0,139563;0,094735;0,193392;F;1455;9
iceland;1994;15.04.1994;A;Social Democratic Party;228;0,22668;0,179179;0,282987;KL;147;9
iceland;1994;15.04.1994;A;Social Democratic Party;228;0,071146;0,054107;0,091829;Sj;1342;9
iceland;1994;15.04.1994;A;Social Democratic Party;228;0,245832;0,196902;0,305349;;;9
iceland;1994;15.04.1994;Ab;People's Alliance;1360;0,114497;0,085748;0,148338;A;228;13
iceland;1994;15.04.1994;Ab;People's Alliance;1360;0,070526;0,048114;0,098379;F;1455;13
iceland;1994;15.04.1994;Ab;People's Alliance;1360;0,139495;0,102134;0,180535;KL;147;13
iceland;1994;15.04.1994;Ab;People's Alliance;1360;0,0808;0,057643;0,110379;Sj;1342;13
iceland;1994;15.04.1994;Ab;People's Alliance;1360;0,163642;0,125053;0,209085;;;13
iceland;1994;15.04.1994;F;Progressive Party;1455;0,42377;0,341583;0,501796;A;228;27
iceland;1994;15.04.1994;F;Progressive Party;1455;0,436923;0,35243;0,52265;Ab;1360;27
iceland;1994;15.04.1994;F;Progressive Party;1455;0,4875;0,399959;0,571594;KL;147;27
iceland;1994;15.04.1994;F;Progressive Party;1455;0,116097;0,085015;0,154118;Sj;1342;27
iceland;1994;15.04.1994;F;Progressive Party;1455;0,530039;0,437382;0,614649;;;27
iceland;1994;15.04.1994;KL;Women's Alliance;147;0,048228;0,030923;0,069703;A;228;13
iceland;1994;15.04.1994;KL;Women's Alliance;147;0,043233;0,028263;0,063049;Ab;1360;13
iceland;1994;15.04.1994;KL;Women's Alliance;147;0,024841;0,01523;0,038723;F;1455;13
iceland;1994;15.04.1994;KL;Women's Alliance;147;0,037349;0,02324;0,056671;Sj;1342;13
iceland;1994;15.04.1994;KL;Women's Alliance;147;0,06738;0,04398;0,096474;;;13
iceland;1994;15.04.1994;Sj;Independence Party;1342;0,665141;0,594231;0,723423;A;228;38
iceland;1994;15.04.1994;Sj;Independence Party;1342;0,756985;0,703013;0,805828;Ab;1360;38
iceland;1994;15.04.1994;Sj;Independence Party;1342;0,425885;0,345569;0,511923;F;1455;38
iceland;1994;15.04.1994;Sj;Independence Party;1342;0,809796;0,755022;0,854608;KL;147;38
iceland;1994;15.04.1994;Sj;Independence Party;1342;0,839827;0,786542;0,882506;;;38
iceland;1994;15.05.1994;A;Social Democratic Party;228;0,215376;0,168255;0,273673;Ab;1360;11
iceland;1994;15.05.1994;A;Social Democratic Party;228;0,141176;0,094419;0,19879;F;1455;11
iceland;1994;15.05.1994;A;Social Democratic Party;228;0,217903;0,167083;0,277835;KL;147;11
iceland;1994;15.05.1994;A;Social Democratic Party;228;0,062306;0,047191;0,081405;Sj;1342;11
iceland;1994;15.05.1994;A;Social Democratic Party;228;0,238894;0,188249;0,301088;;;11
iceland;1994;15.05.1994;Ab;People's Alliance;1360;0,061076;0,045865;0,079108;A;228;14
iceland;1994;15.05.1994;Ab;People's Alliance;1360;0,03371;0,023192;0,047186;F;1455;14
iceland;1994;15.05.1994;Ab;People's Alliance;1360;0,058129;0,042542;0,076914;KL;147;14
iceland;1994;15.05.1994;Ab;People's Alliance;1360;0,047035;0,034657;0,063082;Sj;1342;14
iceland;1994;15.05.1994;Ab;People's Alliance;1360;0,084594;0,06499;0,107768;;;14
iceland;1994;15.05.1994;F;Progressive Party;1455;0,431322;0,345272;0,513068;A;228;20
iceland;1994;15.05.1994;F;Progressive Party;1455;0,478156;0,387102;0,561003;Ab;1360;20
iceland;1994;15.05.1994;F;Progressive Party;1455;0,482405;0,390763;0,569873;KL;147;20
iceland;1994;15.05.1994;F;Progressive Party;1455;0,10398;0,075895;0,13712;Sj;1342;20
iceland;1994;15.05.1994;F;Progressive Party;1455;0,52904;0,433144;0,616189;;;20
iceland;1994;15.05.1994;KL;Women's Alliance;147;0,052878;0,033932;0,078013;A;228;18
iceland;1994;15.05.1994;KL;Women's Alliance;147;0,047404;0,030549;0,069278;Ab;1360;18
iceland;1994;15.05.1994;KL;Women's Alliance;147;0,027235;0,016451;0,043034;F;1455;18
iceland;1994;15.05.1994;KL;Women's Alliance;147;0,040941;0,02519;0,062825;Sj;1342;18
iceland;1994;15.05.1994;KL;Women's Alliance;147;0,073869;0,046916;0,107023;;;18
iceland;1994;15.05.1994;Sj;Independence Party;1342;0,689444;0,620489;0,748559;A;228;37
iceland;1994;15.05.1994;Sj;Independence Party;1342;0,828473;0,785871;0,862569;Ab;1360;37
iceland;1994;15.05.1994;Sj;Independence Party;1342;0,440973;0,355281;0,532619;F;1455;37
iceland;1994;15.05.1994;Sj;Independence Party;1342;0,833104;0,7868;0,872368;KL;147;37
iceland;1994;15.05.1994;Sj;Independence Party;1342;0,866033;0,824551;0,900642;;;37
iceland;1994;15.06.1994;A;Social Democratic Party;228;0,215376;0,168255;0,273673;Ab;1360;11
iceland;1994;15.06.1994;A;Social Democratic Party;228;0,141176;0,094419;0,19879;F;1455;11
iceland;1994;15.06.1994;A;Social Democratic Party;228;0,217903;0,167083;0,277835;KL;147;11
iceland;1994;15.06.1994;A;Social Democratic Party;228;0,062306;0,047191;0,081405;Sj;1342;11
iceland;1994;15.06.1994;A;Social Democratic Party;228;0,238894;0,188249;0,301088;;;11
iceland;1994;15.06.1994;Ab;People's Alliance;1360;0,061076;0,045865;0,079108;A;228;14
iceland;1994;15.06.1994;Ab;People's Alliance;1360;0,03371;0,023192;0,047186;F;1455;14
iceland;1994;15.06.1994;Ab;People's Alliance;1360;0,058129;0,042542;0,076914;KL;147;14
iceland;1994;15.06.1994;Ab;People's Alliance;1360;0,047035;0,034657;0,063082;Sj;1342;14
iceland;1994;15.06.1994;Ab;People's Alliance;1360;0,084594;0,06499;0,107768;;;14
