country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id;polls
new zealand;1996;15.10.1996;A;Alliance;1444;0,036308;0,023695;0,05165;LP;878;15
new zealand;1996;15.10.1996;A;Alliance;1444;0,026268;0,016529;0,040921;NP;997;15
new zealand;1996;15.10.1996;A;Alliance;1444;0,04375;0,030732;0,059769;NZFP;891;15
new zealand;1996;15.10.1996;A;Alliance;1444;0,087516;0,059316;0,120753;;;15
new zealand;1996;15.10.1996;ACT;ACT New Zealand;617;;;;;;3,799999952
new zealand;1996;15.10.1996;LP;Labour Party;878;0,056387;0,033163;0,086524;A;1444;24
new zealand;1996;15.10.1996;LP;Labour Party;878;0,026574;0,016566;0,042005;NP;997;24
new zealand;1996;15.10.1996;LP;Labour Party;878;0,068986;0,043229;0,102533;NZFP;891;24
new zealand;1996;15.10.1996;LP;Labour Party;878;0,107595;0,066805;0,15758;;;24
new zealand;1996;15.10.1996;NP;National Party;997;0,90476;0,868947;0,936062;A;1444;34
new zealand;1996;15.10.1996;NP;National Party;997;0,884988;0,832108;0,927208;LP;878;34
new zealand;1996;15.10.1996;NP;National Party;997;0,163842;0,101254;0,246789;NZFP;891;34
new zealand;1996;15.10.1996;NP;National Party;997;0,966008;0,947861;0,978976;UNZ;;34
new zealand;1996;15.10.1996;NP;National Party;997;0,966008;0,947861;0,978976;;;34
new zealand;1996;15.10.1996;NZFP;New Zealand First Party;891;0,772069;0,671308;0,853944;A;1444;15
new zealand;1996;15.10.1996;NZFP;New Zealand First Party;891;0,777226;0,681502;0,856324;LP;878;15
new zealand;1996;15.10.1996;NZFP;New Zealand First Party;891;0,013669;0,007497;0,022986;NP;997;15
new zealand;1996;15.10.1996;NZFP;New Zealand First Party;891;0,815836;0,73112;0,883375;;;15
new zealand;1996;15.11.1996;A;Alliance;1444;0,069463;0,047457;0,094389;LP;878;15
new zealand;1996;15.11.1996;A;Alliance;1444;0,050452;0,032167;0,076749;NP;997;15
new zealand;1996;15.11.1996;A;Alliance;1444;0,084172;0,060195;0,115344;NZFP;891;15
new zealand;1996;15.11.1996;A;Alliance;1444;0,167675;0,121532;0,223723;;;15
new zealand;1996;15.11.1996;ACT;ACT New Zealand;617;;;;;;3,799999952
new zealand;1996;15.11.1996;LP;Labour Party;878;0,082345;0,053833;0,116155;A;1444;24
new zealand;1996;15.11.1996;LP;Labour Party;878;0,048475;0,031092;0,074797;NP;997;24
new zealand;1996;15.11.1996;LP;Labour Party;878;0,131328;0,092531;0,176798;NZFP;891;24
new zealand;1996;15.11.1996;LP;Labour Party;878;0,180557;0,124349;0,246857;;;24
new zealand;1996;15.11.1996;NP;National Party;997;0,823846;0,766249;0,871754;A;1444;34
new zealand;1996;15.11.1996;NP;National Party;997;0,808986;0,741165;0,866601;LP;878;34
new zealand;1996;15.11.1996;NP;National Party;997;0,310678;0,22583;0,403866;NZFP;891;34
new zealand;1996;15.11.1996;NP;National Party;997;0,941068;0,9115;0,961945;UNZ;;34
new zealand;1996;15.11.1996;NP;National Party;997;0,941068;0,9115;0,961945;;;34
new zealand;1996;15.11.1996;NZFP;New Zealand First Party;891;0,566661;0,446903;0,674985;A;1444;13,4
new zealand;1996;15.11.1996;NZFP;New Zealand First Party;891;0,600934;0,487522;0,700017;LP;878;13,4
new zealand;1996;15.11.1996;NZFP;New Zealand First Party;891;0,019773;0,011707;0,032594;NP;997;13,4
new zealand;1996;15.11.1996;NZFP;New Zealand First Party;891;0,650164;0,555342;0,738763;;;13,4
new zealand;1996;15.12.1996;A;Alliance;1444;0,058151;0,03803;0,084935;LP;878;10
new zealand;1996;15.12.1996;A;Alliance;1444;0,099842;0,059861;0,152286;NP;997;10
new zealand;1996;15.12.1996;A;Alliance;1444;0,242546;0,172266;0,326036;;;10
new zealand;1996;15.12.1996;ACT;ACT New Zealand;617;;;;;;4
new zealand;1996;15.12.1996;LP;Labour Party;878;0,192377;0,13771;0,256144;A;1444;31
new zealand;1996;15.12.1996;LP;Labour Party;878;0,095515;0,057223;0,147598;NP;997;31
new zealand;1996;15.12.1996;LP;Labour Party;878;0,376772;0,294296;0,473796;;;31
new zealand;1996;15.12.1996;NP;National Party;997;0,744178;0,657241;0,816852;A;1444;36
new zealand;1996;15.12.1996;NP;National Party;997;0,605625;0,507618;0,693458;LP;878;36
new zealand;1996;15.12.1996;NP;National Party;997;0,886882;0,827115;0,931342;UNZ;;36
new zealand;1996;15.12.1996;NP;National Party;997;0,886882;0,827115;0,931342;;;36
new zealand;1997;15.01.1997;A;Alliance;1444;0,058151;0,03803;0,084935;LP;878;10
new zealand;1997;15.01.1997;A;Alliance;1444;0,099842;0,059861;0,152286;NP;997;10
new zealand;1997;15.01.1997;A;Alliance;1444;0,242546;0,172266;0,326036;;;10
new zealand;1997;15.01.1997;ACT;ACT New Zealand;617;;;;;;4
new zealand;1997;15.01.1997;LP;Labour Party;878;0,192377;0,13771;0,256144;A;1444;31
new zealand;1997;15.01.1997;LP;Labour Party;878;0,095515;0,057223;0,147598;NP;997;31
new zealand;1997;15.01.1997;LP;Labour Party;878;0,376772;0,294296;0,473796;;;31
new zealand;1997;15.01.1997;NP;National Party;997;0,744178;0,657241;0,816852;A;1444;36
new zealand;1997;15.01.1997;NP;National Party;997;0,605625;0,507618;0,693458;LP;878;36
new zealand;1997;15.01.1997;NP;National Party;997;0,886882;0,827115;0,931342;NZFP;891;36
new zealand;1997;15.01.1997;NP;National Party;997;0,886882;0,827115;0,931342;;;36
