country;year;date;party_abbr;party_name;parlgov_id;pr_ingov_mean;pr_ingov_lower;pr_ingov_upper;excluding;excluding_parlgov_id;polls
slovenia;1996;15.01.1996;LDS;Liberal Democracy of Slovenia;1252;0,128992;0,086382;0,183347;NSI;1047;30,14440346
slovenia;1996;15.01.1996;LDS;Liberal Democracy of Slovenia;1252;0,979649;0,968273;0,987389;NSI, ZL-SD;"1047; 706";30,14440346
slovenia;1996;15.01.1996;LDS;Liberal Democracy of Slovenia;1252;0,855199;0,802785;0,899363;SDS;179;30,14440346
slovenia;1996;15.01.1996;LDS;Liberal Democracy of Slovenia;1252;0,959648;0,94324;0,97271;SNS;981;30,14440346
slovenia;1996;15.01.1996;LDS;Liberal Democracy of Slovenia;1252;0,903331;0,869136;0,931449;ZL-SD;706;30,14440346
slovenia;1996;15.01.1996;LDS;Liberal Democracy of Slovenia;1252;0,934137;0,910418;0,953909;ZS;1619;30,14440346
slovenia;1996;15.01.1996;LDS;Liberal Democracy of Slovenia;1252;0,979649;0,968273;0,987389;;;30,14440346
slovenia;1996;15.01.1996;NSI;New Slovenia -- Christian's People Party;1047;0,012355;0,007835;0,019002;LDS;1252;24,90974808
slovenia;1996;15.01.1996;NSI;New Slovenia -- Christian's People Party;1047;0,814579;0,745078;0,871341;SDS;179;24,90974808
slovenia;1996;15.01.1996;NSI;New Slovenia -- Christian's People Party;1047;0,850966;0,790906;0,899064;SNS;981;24,90974808
slovenia;1996;15.01.1996;NSI;New Slovenia -- Christian's People Party;1047;0,831546;0,765977;0,882228;ZL-SD;706;24,90974808
slovenia;1996;15.01.1996;NSI;New Slovenia -- Christian's People Party;1047;0,846036;0,78433;0,894968;ZS;1619;24,90974808
slovenia;1996;15.01.1996;NSI;New Slovenia -- Christian's People Party;1047;0,863011;0,804661;0,908042;;;24,90974808
slovenia;1996;15.01.1996;SDS;Slovenian Democratic Party;179;0,016105;0,009941;0,025975;LDS;1252;19,31407928
slovenia;1996;15.01.1996;SDS;Slovenian Democratic Party;179;0,092121;0,061168;0,130997;NSI;1047;19,31407928
slovenia;1996;15.01.1996;SDS;Slovenian Democratic Party;179;0,125363;0,086476;0,17033;SNS;981;19,31407928
slovenia;1996;15.01.1996;SDS;Slovenian Democratic Party;179;0,067378;0,046441;0,093001;ZL-SD;706;19,31407928
slovenia;1996;15.01.1996;SDS;Slovenian Democratic Party;179;0,100025;0,069556;0,134939;ZS;1619;19,31407928
slovenia;1996;15.01.1996;SDS;Slovenian Democratic Party;179;0,140554;0,096716;0,191747;;;19,31407928
slovenia;1996;15.01.1996;SNS;Slovenian National Party;981;0,002809;0,001629;0,004536;LDS;1252;3,971119165
slovenia;1996;15.01.1996;SNS;Slovenian National Party;981;0,010764;0,006394;0,016427;NSI;1047;3,971119165
slovenia;1996;15.01.1996;SNS;Slovenian National Party;981;0,007619;0,005045;0,011057;SDS;179;3,971119165
slovenia;1996;15.01.1996;SNS;Slovenian National Party;981;0,016753;0,010891;0,023877;ZL-SD;706;3,971119165
slovenia;1996;15.01.1996;SNS;Slovenian National Party;981;0,01863;0,01227;0,026293;ZS;1619;3,971119165
