"ACTIVITY","LOCATION","MEASURE","OBS_STATUS","ObsValue","POWERCODE","REFERENCEPERIOD","TIME_FORMAT","TRANSACT","Time","UNIT"
"01","DEW","V",,"11629.54","6","1991","P1Y","B1GAY","1980","EUR"
"01","DEW","V",,"11619.92","6","1991","P1Y","B1GAY","1981","EUR"
"01","DEW","V",,"13707.02","6","1991","P1Y","B1GAY","1982","EUR"
"01","DEW","V",,"12605.08","6","1991","P1Y","B1GAY","1983","EUR"
"01","DEW","V",,"13462.45","6","1991","P1Y","B1GAY","1984","EUR"
"01","DEW","V",,"12397.6","6","1991","P1Y","B1GAY","1985","EUR"
"01","DEW","V",,"13947.47","6","1991","P1Y","B1GAY","1986","EUR"
"01","DEW","V",,"12639.43","6","1991","P1Y","B1GAY","1987","EUR"
"01","DEW","V",,"13594.36","6","1991","P1Y","B1GAY","1988","EUR"
"01","DEW","V",,"14045.03","6","1991","P1Y","B1GAY","1989","EUR"
"01","DEW","V",,"14187.92","6","1991","P1Y","B1GAY","1990","EUR"
"01","DEW","V",,"13740","6","1991","P1Y","B1GAY","1991","EUR"
"A","AUS","C",,"3553","6",,"P1Y","D11AY","1989","AUD"
"A","AUS","C",,"3431","6",,"P1Y","D11AY","1990","AUD"
"A","AUS","C",,"3212","6",,"P1Y","D11AY","1991","AUD"
"A","AUS","C",,"3262","6",,"P1Y","D11AY","1992","AUD"
"A","AUS","C",,"3465","6",,"P1Y","D11AY","1993","AUD"
"A","AUS","C",,"3798","6",,"P1Y","D11AY","1994","AUD"
"A","AUS","C",,"3842","6",,"P1Y","D11AY","1995","AUD"
"A","AUS","C",,"4286","6",,"P1Y","D11AY","1996","AUD"
"A","AUS","C",,"4296","6",,"P1Y","D11AY","1997","AUD"
"A","AUS","C",,"4699","6",,"P1Y","D11AY","1998","AUD"
"A","AUS","C",,"4814","6",,"P1Y","D11AY","1999","AUD"
"A","AUS","C",,"5201","6",,"P1Y","D11AY","2000","AUD"
"A","AUS","C",,"5233","6",,"P1Y","D11AY","2001","AUD"
"A","AUS","C",,"4977","6",,"P1Y","D11AY","2002","AUD"
"A","AUS","C",,"5235","6",,"P1Y","D11AY","2003","AUD"
"A","AUS","C",,"5451","6",,"P1Y","D11AY","2004","AUD"
"A","AUS","C",,"5343","6",,"P1Y","D11AY","2005","AUD"
"A","AUS","C",,"5548","6",,"P1Y","D11AY","2006","AUD"
"A","AUS","C",,"6303","6",,"P1Y","D11AY","2007","AUD"
"A","AUS","C",,"6351","6",,"P1Y","D11AY","2008","AUD"
"A","AUS","C",,"3923","6",,"P1Y","D1AY","1989","AUD"
"A","AUS","C",,"3752","6",,"P1Y","D1AY","1990","AUD"
"A","AUS","C",,"3533","6",,"P1Y","D1AY","1991","AUD"
"A","AUS","C",,"3613","6",,"P1Y","D1AY","1992","AUD"
"A","AUS","C",,"3868","6",,"P1Y","D1AY","1993","AUD"
"A","AUS","C",,"4224","6",,"P1Y","D1AY","1994","AUD"
"A","AUS","C",,"4282","6",,"P1Y","D1AY","1995","AUD"
"A","AUS","C",,"4808","6",,"P1Y","D1AY","1996","AUD"
"A","AUS","C",,"4809","6",,"P1Y","D1AY","1997","AUD"
"A","AUS","C",,"5342","6",,"P1Y","D1AY","1998","AUD"
"A","AUS","C",,"5478","6",,"P1Y","D1AY","1999","AUD"
"A","AUS","C",,"5975","6",,"P1Y","D1AY","2000","AUD"
"A","AUS","C",,"6010","6",,"P1Y","D1AY","2001","AUD"
"A","AUS","C",,"5806","6",,"P1Y","D1AY","2002","AUD"
"A","AUS","C",,"6122","6",,"P1Y","D1AY","2003","AUD"
"A","AUS","C",,"6390","6",,"P1Y","D1AY","2004","AUD"
"A","AUS","C",,"6280","6",,"P1Y","D1AY","2005","AUD"
"A","AUS","C",,"6530","6",,"P1Y","D1AY","2006","AUD"
"A","AUS","C",,"7334","6",,"P1Y","D1AY","2007","AUD"
"A","AUS","C",,"7409","6",,"P1Y","D1AY","2008","AUD"
"A","AUS","C",,"1282","6",,"P1Y","K1AY","1959","AUD"
"A","AUS","C",,"1256","6",,"P1Y","K1AY","1960","AUD"
"A","AUS","C",,"1174","6",,"P1Y","K1AY","1961","AUD"
"A","AUS","C",,"1224","6",,"P1Y","K1AY","1962","AUD"
"A","AUS","C",,"1354","6",,"P1Y","K1AY","1963","AUD"
"A","AUS","C",,"1588","6",,"P1Y","K1AY","1964","AUD"
"A","AUS","C",,"1543","6",,"P1Y","K1AY","1965","AUD"
"A","AUS","C",,"1639","6",,"P1Y","K1AY","1966","AUD"
"A","AUS","C",,"1830","6",,"P1Y","K1AY","1967","AUD"
"A","AUS","C",,"1793","6",,"P1Y","K1AY","1968","AUD"
"A","AUS","C",,"2472","6",,"P1Y","K1AY","1969","AUD"
"A","AUS","C",,"2365","6",,"P1Y","K1AY","1970","AUD"
"A","AUS","C",,"2578","6",,"P1Y","K1AY","1971","AUD"
"A","AUS","C",,"2481","6",,"P1Y","K1AY","1972","AUD"
"A","AUS","C",,"2984","6",,"P1Y","K1AY","1973","AUD"
"A","AUS","C",,"2368","6",,"P1Y","K1AY","1974","AUD"
"A","AUS","C",,"2547","6",,"P1Y","K1AY","1975","AUD"
"A","AUS","C",,"2559","6",,"P1Y","K1AY","1976","AUD"
"A","AUS","C",,"2767","6",,"P1Y","K1AY","1977","AUD"
"A","AUS","C",,"2868","6",,"P1Y","K1AY","1978","AUD"
"A","AUS","C",,"3276","6",,"P1Y","K1AY","1979","AUD"
