"COU","FREQ","MEAS","OBS_STATUS","ObsValue","TIME_FORMAT","Time"
"AUS","A","PCT",,"92","P1Y","1960"
"AUS","A","PCT",,"90.699997","P1Y","1963"
"AUS","A","PCT",,"88.300003","P1Y","1968"
"AUS","A","PCT",,"85.400002","P1Y","1974"
"AUS","A","PCT",,"84.300003","P1Y","1980"
"AUS","A","PCT",,"83.400002","P1Y","1985"
"AUS","A","PCT",,"77.300003","P1Y","1990"
"AUS","A","PCT",,"66","P1Y","1996"
"AUS","A","PCT",,"60","P1Y","1998"
"AUS","A","PCT",,"62.200001","P1Y","2002"
"AUS","A","PCT",,"64.400002","P1Y","2004"
"AUS","A","PCT",,"63.299999","P1Y","2006"
"AUS","A","PCT",,"59.299999","P1Y","2008"
"AUS","A","PCT",,"61.099998","P1Y","2010"
"AUS","A","PCT",,"60","P1Y","2012"
"AUS","A","PCT",,"62","P1Y","2014"
"AUS","A","PCT",,"61.299999","P1Y","2016"
"AUS","A","PCT",,"61.200001","P1Y","2018"
"AUT","A","PCT",,"95","P1Y","1960"
"AUT","A","PCT",,"95","P1Y","1965"
"AUT","A","PCT",,"95","P1Y","1970"
"AUT","A","PCT",,"95","P1Y","1976"
"AUT","A","PCT",,"95","P1Y","1980"
"AUT","A","PCT",,"95","P1Y","1985"
"AUT","A","PCT",,"98","P1Y","1990"
"AUT","A","PCT",,"98","P1Y","1995"
"AUT","A","PCT",,"98","P1Y","2000"
"AUT","A","PCT",,"98","P1Y","2005"
"AUT","A","PCT",,"98","P1Y","2006"
"AUT","A","PCT",,"98","P1Y","2007"
"AUT","A","PCT",,"98","P1Y","2008"
"AUT","A","PCT",,"98","P1Y","2009"
"AUT","A","PCT",,"98","P1Y","2010"
"AUT","A","PCT",,"98","P1Y","2011"
"AUT","A","PCT",,"98","P1Y","2012"
"AUT","A","PCT",,"98","P1Y","2013"
"AUT","A","PCT",,"98","P1Y","2014"
"AUT","A","PCT",,"98","P1Y","2015"
"AUT","A","PCT",,"98","P1Y","2016"
"AUT","A","PCT",,"98","P1Y","2017"
"AUT","A","PCT",,"98","P1Y","2018"
"AUT","A","PCT",,"98","P1Y","2019"
"BEL","A","PCT",,"80","P1Y","1960"
"BEL","A","PCT",,"80","P1Y","1965"
"BEL","A","PCT",,"85","P1Y","1970"
"BEL","A","PCT",,"88","P1Y","1974"
"BEL","A","PCT",,"90","P1Y","1975"
"BEL","A","PCT",,"96","P1Y","1980"
"BEL","A","PCT",,"96","P1Y","1981"
"BEL","A","PCT",,"96","P1Y","1985"
"BEL","A","PCT",,"96","P1Y","1990"
"BEL","A","PCT",,"96","P1Y","1995"
"BEL","A","PCT",,"96","P1Y","2000"
"BEL","A","PCT",,"96","P1Y","2003"
"BEL","A","PCT",,"96","P1Y","2004"
"BEL","A","PCT",,"96","P1Y","2005"
"BEL","A","PCT",,"96","P1Y","2006"
"BEL","A","PCT",,"96","P1Y","2007"
"BEL","A","PCT",,"96","P1Y","2008"
"BEL","A","PCT",,"96","P1Y","2009"
"BEL","A","PCT",,"96","P1Y","2010"
"BEL","A","PCT",,"96","P1Y","2011"
"BEL","A","PCT",,"96","P1Y","2012"
"BEL","A","PCT",,"96","P1Y","2013"
"BEL","A","PCT",,"96","P1Y","2014"
"BEL","A","PCT",,"96","P1Y","2015"
"BEL","A","PCT",,"96","P1Y","2016"
"BEL","A","PCT",,"96","P1Y","2017"
"BEL","A","PCT",,"96","P1Y","2018"
"BEL","A","PCT",,"96","P1Y","2019"
"CAN","A","PCT",,"31.799999","P1Y","1960"
"CAN","A","PCT",,"31.1","P1Y","1961"
"CAN","A","PCT",,"29.5","P1Y","1962"
"CAN","A","PCT",,"29.200001","P1Y","1963"
"CAN","A","PCT",,"28.799999","P1Y","1964"
"CAN","A","PCT",,"29.1","P1Y","1965"
"CAN","A","PCT",,"30","P1Y","1966"
"CAN","A","PCT",,"32.200001","P1Y","1967"
"CAN","A","PCT",,"32.900002","P1Y","1968"
"CAN","A","PCT",,"32.799999","P1Y","1969"
"CAN","A","PCT",,"33.799999","P1Y","1970"
"CAN","A","PCT",,"33.599998","P1Y","1971"
"CAN","A","PCT",,"34.700001","P1Y","1972"
"CAN","A","PCT",,"36.099998","P1Y","1973"
"CAN","A","PCT",,"36.099998","P1Y","1974"
"CAN","A","PCT",,"37.400002","P1Y","1975"
"CAN","A","PCT",,"37.599998","P1Y","1976"
"CAN","A","PCT",,"38.200001","P1Y","1977"
"CAN","A","PCT",,"38.700001","P1Y","1978"
"CAN","A","PCT",,"37.700001","P1Y","1979"
"CAN","A","PCT",,"37.099998","P1Y","1980"
"CAN","A","PCT",,"36.799999","P1Y","1981"
"CAN","A","PCT",,"39.599998","P1Y","1982"
"CAN","A","PCT",,"38.599998","P1Y","1983"
"CAN","A","PCT",,"38.400002","P1Y","1984"
"CAN","A","PCT",,"37","P1Y","1985"
"CAN","A","PCT",,"37.599998","P1Y","1986"
"CAN","A","PCT",,"37","P1Y","1987"
"CAN","A","PCT",,"36.400002","P1Y","1988"
"CAN","A","PCT",,"36.5","P1Y","1989"
"CAN","A","PCT",,"38","P1Y","1990"
"CAN","A","PCT",,"38.400002","P1Y","1991"
"CAN","A","PCT",,"38.799999","P1Y","1992"
"CAN","A","PCT",,"38.900002","P1Y","1993"
"CAN","A","PCT",,"37.400002","P1Y","1994"
"CAN","A","PCT",,"37","P1Y","1995"
"CAN","A","PCT",,"36","P1Y","1996"
"CAN","A","PCT",,"33.700001","P1Y","1997"
"CAN","A","PCT",,"33","P1Y","1998"
"CAN","A","PCT",,"32.299999","P1Y","1999"
"CAN","A","PCT",,"32.400002","P1Y","2000"
"CAN","A","PCT",,"32.299999","P1Y","2001"
"CAN","A","PCT",,"32.200001","P1Y","2002"
"CAN","A","PCT",,"32.200001","P1Y","2003"
"CAN","A","PCT",,"31.700001","P1Y","2004"
"CAN","A","PCT",,"32","P1Y","2005"
"CAN","A","PCT",,"31.700001","P1Y","2006"
"CAN","A","PCT",,"31.6","P1Y","2007"
"CAN","A","PCT",,"31.200001","P1Y","2008"
"CAN","A","PCT",,"31.5","P1Y","2009"
"CAN","A","PCT",,"31.4","P1Y","2010"
"CAN","A","PCT",,"31","P1Y","2011"
"CAN","A","PCT",,"31.299999","P1Y","2012"
"CAN","A","PCT",,"31.1","P1Y","2013"
"CAN","A","PCT",,"30.4","P1Y","2014"
"CAN","A","PCT",,"30.6","P1Y","2015"
"CAN","A","PCT",,"30.299999","P1Y","2016"
"CAN","A","PCT",,"30.4","P1Y","2017"
"CAN","A","PCT",,"30.1","P1Y","2018"
"CAN","A","PCT",,"30.200001","P1Y","2019"
"CAN","A","PCT",,"31.299999","P1Y","2020"
"CZE","A","PCT",,"47.5","P1Y","1994"
"CZE","A","PCT",,"51.700001","P1Y","1995"
"CZE","A","PCT",,"47.5","P1Y","1996"
"CZE","A","PCT",,"43.799999","P1Y","1997"
"CZE","A","PCT",,"37.5","P1Y","1998"
"CZE","A","PCT",,"39.400002","P1Y","1999"
"CZE","A","PCT",,"42.400002","P1Y","2000"
"CZE","A","PCT",,"38.5","P1Y","2001"
"CZE","A","PCT",,"38.5","P1Y","2002"
"CZE","A","PCT",,"41.099998","P1Y","2003"
"CZE","A","PCT",,"40.400002","P1Y","2004"
"CZE","A","PCT",,"38.200001","P1Y","2005"
"CZE","A","PCT",,"37","P1Y","2006"
"CZE","A","PCT",,"36.400002","P1Y","2007"
"CZE","A","PCT",,"38.200001","P1Y","2008"
"CZE","A","PCT",,"38","P1Y","2009"
"CZE","A","PCT",,"36","P1Y","2010"
